English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Indonesian Word
abacus	0	0	0	0	0	0	0	0	0	1	sempoa
abandon	0	0	0	1	0	1	0	1	0	0	meninggalkan
abandoned	1	0	0	1	0	1	0	1	0	0	ditinggalkan
abandonment	1	0	0	1	0	1	0	1	1	0	pengabaian
abbot	0	0	0	0	0	0	0	0	0	1	kepala biara
abduction	0	0	0	1	0	1	0	1	1	0	penculikan
aberration	0	0	1	0	0	1	0	0	0	0	penyimpangan
abhor	1	0	1	1	0	1	0	0	0	0	benci
abhorrent	1	0	1	1	0	1	0	0	0	0	mengerikan
abject	0	0	1	0	0	1	0	0	0	0	hina
abnormal	0	0	1	0	0	1	0	0	0	0	abnormal
abolish	1	0	0	0	0	1	0	0	0	0	menghapuskan
abominable	0	0	1	1	0	1	0	0	0	0	mengerikan
abomination	1	0	1	1	0	1	0	0	0	0	kekejian
abortion	0	0	1	1	0	1	0	1	0	0	abortus
abortive	0	0	0	0	0	1	0	1	0	0	gagal
abrupt	0	0	0	0	0	0	0	0	1	0	mendadak
abscess	0	0	0	0	0	1	0	1	0	0	abses
absence	0	0	0	1	0	1	0	1	0	0	ketiadaan
absent	0	0	0	0	0	1	0	1	0	0	absen
absentee	0	0	0	0	0	1	0	1	0	0	absen
absolution	0	0	0	0	1	0	1	0	0	1	absolusi
abundance	0	1	1	0	1	1	1	0	0	1	kelimpahan
abundant	0	0	0	0	1	0	1	0	0	0	melimpah
abuse	1	0	1	1	0	1	0	1	0	0	melecehkan
abysmal	0	0	0	0	0	1	0	1	0	0	bukan kepalang
abyss	0	0	0	1	0	1	0	1	0	0	neraka
academic	0	0	0	0	0	0	1	0	0	1	akademik
accelerate	0	1	0	0	0	0	0	0	0	0	mempercepat
accident	0	0	0	1	0	1	0	1	1	0	kecelakaan
accidental	0	0	0	1	0	1	0	0	1	0	kebetulan
accidentally	0	0	0	0	0	0	0	0	1	0	secara tidak sengaja
accolade	0	1	0	0	1	0	1	0	1	1	penghargaan
accompaniment	0	1	0	0	1	0	1	0	0	1	iringan
accomplish	0	0	0	0	1	0	1	0	0	0	menyelesaikan
accomplished	0	0	0	0	1	0	1	0	0	0	ahli
accord	0	0	0	0	0	0	1	0	0	1	sesuai
accountability	0	0	0	0	0	0	1	0	0	1	pertanggungjawaban
accountable	0	0	0	0	0	0	1	0	0	1	akuntabel
accountant	0	0	0	0	0	0	0	0	0	1	akuntan
accredited	0	0	0	0	0	0	1	0	0	1	terakreditasi
accurate	0	0	0	0	0	0	1	0	0	1	tepat
accursed	1	0	0	1	0	1	0	1	0	0	terkutuk
accusation	1	0	1	0	0	1	0	0	0	0	tuduhan
accused	1	0	0	1	0	1	0	0	0	0	dituduh
accuser	1	0	0	1	0	1	0	0	0	0	penuduh
accusing	1	0	0	1	0	1	0	0	0	0	menuduh
ache	0	0	0	0	0	1	0	1	0	0	sakit
achieve	0	0	0	0	1	0	1	0	0	1	meraih
achievement	0	1	0	0	1	0	1	0	0	1	pencapaian
aching	0	0	0	0	0	1	0	1	0	0	sakit
acquiring	0	1	0	0	0	0	1	0	0	0	memperoleh
acrobat	0	0	0	1	1	0	1	0	0	1	akrobat
actionable	1	0	1	0	0	1	0	0	0	0	dapat ditindaklanjuti
adder	1	0	1	1	0	1	0	1	0	0	penambah
addresses	0	1	0	0	0	0	1	0	0	0	alamat
adhering	0	0	0	0	0	0	0	0	0	1	mengikuti
adjudicate	0	0	0	1	0	1	0	0	0	0	mengadili
administrative	0	0	0	0	0	0	0	0	0	1	administratif
admirable	0	0	0	0	1	0	1	0	0	1	terpuji
admiral	0	0	0	0	0	0	1	0	0	1	laksamana
admiration	0	0	0	0	1	0	1	0	0	1	kekaguman
admire	0	0	0	0	0	0	1	0	0	1	mengagumi
admissible	0	0	0	0	0	0	1	0	0	1	dapat diterima
admonition	0	0	0	1	0	1	0	0	0	0	peringatan
adorable	0	0	0	0	1	0	1	0	0	0	menggemaskan
adoration	0	0	0	0	1	0	1	0	0	1	pemujaan
adore	0	1	0	0	1	0	1	0	0	1	cinta
adrift	0	1	0	1	0	1	0	1	0	0	terpaut
adultery	0	0	1	0	0	1	0	1	0	0	zina
advance	0	1	0	1	1	0	1	0	1	0	maju
advent	0	1	0	0	1	0	1	0	0	1	kedatangan
