frasa_negasi	padanan_makna	skor_manual	kategori	keterangan
tidak bagus	buruk	-5	negatif	Kualitas program, makanan, atau pelaksanaan dinilai tidak baik.
tidak baik	buruk	-4	negatif	Penilaian negatif umum terhadap MBG.
tidak layak	buruk	-4	negatif	Makanan, distribusi, atau kebijakan dianggap tidak pantas/layak.
tidak sehat	berbahaya	-4	negatif	Makanan atau proses MBG dianggap tidak sehat.
tidak higienis	kotor	-4	negatif	Kebersihan makanan atau dapur dipersoalkan.
tidak aman	berbahaya	-4	negatif	Program, makanan, atau distribusi dianggap berisiko.
tidak tepat	buruk	-3	negatif	Sasaran, waktu, atau kebijakan dianggap tidak tepat.
tidak jelas	buruk	-3	negatif	Informasi, mekanisme, atau anggaran dianggap tidak jelas.
tidak adil	buruk	-4	negatif	Pelaksanaan atau pembagian dianggap tidak adil.
tidak transparan	buruk	-4	negatif	Anggaran atau proses dinilai tertutup.
tidak merata	buruk	-3	negatif	Distribusi MBG dianggap belum menjangkau semua pihak.
tidak efektif	buruk	-3	negatif	Program dianggap tidak memberi hasil yang diharapkan.
tidak siap	buruk	-3	negatif	Pelaksana atau fasilitas dianggap belum siap.
tidak percaya	ragu	-3	negatif	Ketidakpercayaan terhadap pemerintah/pelaksana.
tidak setuju	menolak	-3	negatif	Penolakan terhadap program atau kebijakan.
tidak mendukung	menolak	-3	negatif	Sikap tidak mendukung terhadap MBG.
tidak puas	kecewa	-3	negatif	Kekecewaan terhadap kualitas/pelaksanaan.
tidak yakin	ragu	-2	negatif	Keraguan terhadap manfaat atau keberhasilan.
tidak enak	buruk	-3	negatif	Rasa makanan dinilai buruk.
tidak bergizi	buruk	-4	negatif	Makanan dinilai tidak memenuhi tujuan gizi.
tidak buruk	baik	4	positif	Pernyataan bahwa kondisi tidak seburuk yang dikhawatirkan.
tidak jelek	baik	4	positif	Penilaian positif moderat terhadap MBG.
tidak gagal	berhasil	4	positif	Program dinilai masih berhasil/berjalan.
tidak mengecewakan	baik	4	positif	Hasil program dianggap cukup memuaskan.
tidak khawatir	tenang	3	positif	Tidak ada kekhawatiran terhadap program.
tidak takut	aman	3	positif	Rasa aman terhadap makanan atau pelaksanaan.
tidak masalah	baik	3	positif	Pelaksanaan dianggap dapat diterima.
tidak rugi	bermanfaat	2	positif	Program dianggap tetap memiliki manfaat.
bukan masalah	baik	3	positif	Isu tertentu dianggap bukan persoalan utama.
bukan pemborosan	bermanfaat	3	positif	Anggaran MBG dianggap tidak sia-sia.
bukan korupsi	baik	3	positif	Menolak tuduhan korupsi terkait program.
tidak penting	sia-sia	-4	negatif	Program MBG dianggap tidak memiliki urgensi dibanding pendidikan/kesehatan (MBG 1, 3).
